70 1 25 40

5	5	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
5	5	5	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
5	5	5	-1	-1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
5	5	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
5	-1	-1	-1	4	4	4	-1	-1	35	35	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
5	-1	-1	-1	4	4	4	-1	29	35	35	35	-1	-1	25	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	
5	-1	-1	-1	4	4	4	29	29	35	35	35	35	25	25	25	14	14	14	14	-1	-1	-1	-1	-1	
5	5	5	5	4	4	4	29	29	35	35	35	35	25	-1	25	14	14	14	14	-1	-1	-1	-1	-1	
32	32	5	5	4	4	4	29	29	35	35	35	35	25	25	25	14	14	14	14	-1	-1	-1	-1	-1	
32	32	5	-1	4	4	4	29	29	29	29	35	35	25	25	25	14	14	14	14	26	26	26	26	26	
32	32	32	32	4	4	27	27	29	29	29	7	7	-1	-1	25	14	14	14	14	26	26	26	26	26	
32	32	32	32	27	27	27	27	29	29	29	7	7	7	7	25	8	8	8	26	26	26	26	26	-1	
32	32	32	32	27	-1	27	27	29	29	29	7	7	7	7	25	8	8	8	26	26	26	26	26	-1	
32	32	32	32	27	27	27	27	27	27	27	7	7	7	7	25	25	8	8	8	8	-1	-1	-1	-1	
22	22	22	-1	-1	-1	-1	27	27	27	27	7	7	7	7	25	25	8	8	8	8	8	-1	-1	-1	
22	22	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	7	-1	-1	-1	8	8	8	8	8	-1	-1	-1	
22	22	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
22	22	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
22	22	-1	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
22	-1	-1	30	30	30	-1	-1	-1	-1	-1	-1	24	24	24	24	24	-1	-1	-1	-1	-1	-1	-1	-1	
22	-1	-1	30	30	30	-1	-1	-1	-1	-1	-1	24	24	24	24	24	-1	-1	-1	-1	-1	-1	-1	-1	
